eva_nr,station_name,line,train_number,ID,planned_arrival,changed_arrival,arrival_delay_m,planned_departure,changed_departure,departure_delay_m,priority,planned_platform,changed_platform_arrival,path,info,arrival_status,departure_status,arrival_path,departure_path,message_status,train_route_id,train_line_number,status_train,arrival_weekday,departure_weekday
8001055,Böblingen,S60,7078,3135343690013222861-2412090009-7,2024-12-09 00:26:00,2024-12-09 00:26:00,0,,,0,,5,nan,Renningen|Renningen Süd|Magstadt|Maichingen Nord|Maichingen|Sindelfingen,,,,,,,3135343690013222861-2412090009,7,,Monday,
8001055,Böblingen,S1,7178,4035296386850578453-2412082346-6,2024-12-09 00:00:00,2024-12-09 00:00:00,0,2024-12-09 00:00:00,2024-12-09 00:00:00,0,,3,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb,,,,,,,4035296386850578453-2412082346,6,,Monday,Monday
8001055,Böblingen,S1,7180,-8304442680762532771-2412090016-6,2024-12-09 00:30:00,2024-12-09 00:35:00,5,2024-12-09 00:30:00,2024-12-09 00:36:00,6,,3,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb,,,,,,,-8304442680762532771-2412090016,6,,Monday,Monday
8001476,Ditzingen,S6,7674,-6901459863372467670-2412082342-11,2024-12-09 00:06:00,2024-12-09 00:06:00,0,2024-12-09 00:06:00,2024-12-09 00:06:00,0,,2,3.0,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Neuwirtshaus(Porscheplatz)|Korntal|Weilimdorf,,,,,,,-6901459863372467670-2412082342,11,,Monday,Monday
8001476,Ditzingen,S6,7676,4089091533218825122-2412090012-11,2024-12-09 00:36:00,2024-12-09 00:35:00,-1,2024-12-09 00:36:00,2024-12-09 00:36:00,0,,2,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord|Stuttgart-Feuerbach|Stuttgart-Zuffenhausen|Neuwirtshaus(Porscheplatz)|Korntal|Weilimdorf,,,,,,,4089091533218825122-2412090012,11,,Monday,Monday
8001476,Ditzingen,S6,7679,-2875027575093930885-2412090003-7,2024-12-09 00:24:00,2024-12-09 00:24:00,0,2024-12-09 00:24:00,2024-12-09 00:24:00,0,,3,nan,Weil der Stadt|Malmsheim|Renningen|Rutesheim|Leonberg|Höfingen,,,,,,,-2875027575093930885-2412090003,7,,Monday,Monday
8001650,Echterdingen,S2,7279,6570008134094305920-2412082348-23,2024-12-09 00:49:00,2024-12-09 00:50:00,1,2024-12-09 00:50:00,2024-12-09 00:51:00,1,1,1,nan,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach|Beutelsbach|Endersbach|Stetten-Beinstein|Rommelshausen|Waiblingen|Fellbach|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld|Stuttgart-Vaihingen|Stuttgart-Rohr|Oberaichen|Leinfelden,Bauarbeiten,,,,,h,6570008134094305920-2412082348,23,,Monday,Monday
8001650,Echterdingen,S2,7278,1541038896405338370-2412090033-3,2024-12-09 00:40:00,2024-12-09 00:40:00,0,2024-12-09 00:40:00,2024-12-09 00:40:00,0,2,2,nan,Filderstadt|Stuttgart Flughafen/Messe,Bauarbeiten,,,,,h,1541038896405338370-2412090033,3,,Monday,Monday
8001650,Echterdingen,S2,7277,-1263112065111090114-2412082318-23,2024-12-09 00:19:00,2024-12-09 00:19:00,0,2024-12-09 00:20:00,2024-12-09 00:20:00,0,1,1,nan,Schorndorf|Weiler(Rems)|Winterbach(b Schorndorf)|Geradstetten|Grunbach|Beutelsbach|Endersbach|Stetten-Beinstein|Rommelshausen|Waiblingen|Fellbach|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte|Stuttgart Feuersee|Stuttgart Schwabstr.|Stuttgart Universität|Stuttgart-Österfeld|Stuttgart-Vaihingen|Stuttgart-Rohr|Oberaichen|Leinfelden,Bauarbeiten,,,,,h,-1263112065111090114-2412082318,23,,Monday,Monday
8001650,Echterdingen,S2,7276,224206650494097505-2412090003-3,2024-12-09 00:10:00,2024-12-09 00:09:00,-1,2024-12-09 00:10:00,2024-12-09 00:10:00,0,2,2,nan,Filderstadt|Stuttgart Flughafen/Messe,Bauarbeiten,,,,,h,224206650494097505-2412090003,3,,Monday,Monday
