eva_nr,name,state,city,Gemeinde,Teilort,Landkreis,zipcode,street,long,lat,Verkehrsmittel,Linien (EFA),Betriebszweige,Tarifzonen,category,parking,bicycle,taxis,stepless,car_rental
8004333,Neustadt-Hohenacker,Baden-Württemberg,Waiblingen,Waiblingen,Neustadt,WN,71336,Bahnhofsplatz 1,9.32455106,48.85921668,Bus;Nachtbus;R-Bahn;S-Bahn,S3;MEX19;RE90;MEX90;201;201A;N24,10;11;31;34,2;3,5,True,True,False,Yes,False
8004338,Neuwirtshaus (Porscheplatz),Baden-Württemberg,Stuttgart,Stuttgart,Stuttgart,S,70435,Porscheplatz,9.151955614,48.83384734,S-Bahn,S6;S26;S60;S62,10,1,4,False,True,False,Yes,False
8004490,Nufringen,Baden-Württemberg,Nufringen,Nufringen,Nufringen,BB,71154,Bahnhofstrasse,8.889817485,48.62010967,R-Bahn;S-Bahn,S1;S11;IRE4;RB14,10;11,4;5,5,True,True,False,Yes,False
8004496,Oberaichen,Baden-Württemberg,Leinfelden-Echterdingen,Leinfelden-Echterdingen,Leinfelden,ES,70771,Rohrerstrasse,9.12743664,48.70512422,Bus;Nachtbus;S-Bahn,S2;S3;S26;818;818A;N18,10;31;34,2,5,True,True,False,Yes,False
8004528,Oberesslingen,Baden-Württemberg,Esslingen am Neckar,Esslingen am Neckar,Oberesslingen,ES,73730,Ulmer Strasse 75,9.327277435,48.72983585,Bus;R-Bahn;S-Bahn,S1;RE5;IRE6;MEX12;MEX16;MEX18;138,10;11;31,2,3,True,True,True,Partial,False
8000302,Plochingen,Baden-Württemberg,Plochingen,Plochingen,Plochingen,ES,73207,Am Bahnhof 1,9.411294578,48.71293906,Bus;Nachtbus;R-Bahn;S-Bahn,S1;RE5;IRE6;MEX12;MEX16;MEX18;107;140;141;143;147;147A;148;149;262;N11,10;11;31;34,3,2,True,True,True,Partial,False
8000313,Renningen,Baden-Württemberg,Renningen,Renningen,Renningen,BB,71272,Bahnhof 1,8.932650148,48.77515509,Bus;S-Bahn,S6;S26;S60;S62;747,10;31,4,3,True,True,True,Yes,False
8005157,Rommelshausen,Baden-Württemberg,Kernen,Kernen im Remstal,Rommelshausen,WN,71394,Waiblinger Strasse,9.319175885,48.81552017,Bus;Nachtbus;R-Bahn;Ruftaxi;S-Bahn,S2;IRE1;MEX13;210;211;N21;RT225,10;11;31;34;51,2,4,True,True,True,Yes,False
8005236,Rutesheim,Baden-Württemberg,Leonberg,Leonberg,Leonberg,BB,71229,Bahnhofstrasse 1,8.960325242,48.79031093,Ruftaxi;S-Bahn,S6;S26;S60;S62;RT655,10;5,3;4,5,True,True,False,Yes,False
8005424,Schorndorf,Baden-Württemberg,Schorndorf,Schorndorf,Schorndorf,WN,73614,Rosenstr. 2,9.525686251,48.80693898,Bus;R-Bahn;S-Bahn,S2;IRE1;MEX13;RB61;217A;228;234;242;242A;243;244;244A;245;246;247;248;249;262;263;935,10;11;12;31,4,3,True,True,True,Yes,False
8005454,Schwaikheim,Baden-Württemberg,Schwaikheim,Schwaikheim,Schwaikheim,WN,71409,Fritz-Müller-Allee 4,9.354747358,48.86832665,Bus;R-Bahn;S-Bahn,S3;MEX19;RE90;MEX90;339,10;11;31,3,4,True,True,False,Yes,False
8005574,Sindelfingen,Baden-Württemberg,Sindelfingen,Sindelfingen,Sindelfingen,BB,71063,Hans-Martin-Schleyer-Str. 9,8.999262079,48.70387346,Bus;S-Bahn,S60;84;631;701;702;705;707;708;715;717;717A;722;749;763;766,10;30;31,3,6,False,True,False,Yes,False
8005726,Stetten-Beinstein,Baden-Württemberg,Weinstadt,Weinstadt,Endersbach,WN,71384,Liedhornstraße 18,9.352769725,48.81199601,Nachtbus;R-Bahn;S-Bahn,S2;IRE1;MEX13;N21,10;11;34,2;3,5,True,True,False,Yes,False
