eva_nr,station_name,line,train_number,ID,planned_arrival,changed_arrival,arrival_delay_m,planned_departure,changed_departure,departure_delay_m,priority,planned_platform,changed_platform_arrival,path,info,arrival_status,departure_status,arrival_path,departure_path,message_status,train_route_id,train_line_number,status_train,arrival_weekday,departure_weekday
8005770,Stuttgart-Feuerbach,S4,7469,3766048702884366970-2412082155-8,2024-12-08 22:16:00,2024-12-08 22:16:00,0,2024-12-08 22:16:00,2024-12-08 22:16:00,0,1,1,nan,Marbach(Neckar)|Benningen(Neckar)|Freiberg(Neckar)|Favoritepark|Ludwigsburg|Kornwestheim Pbf|Stuttgart-Zuffenhausen,Bauarbeiten,,,,,h,3766048702884366970-2412082155,8,,Sunday,Sunday
8005770,Stuttgart-Feuerbach,S5,7568,7857731125780769066-2412082152-6,2024-12-08 22:03:00,2024-12-08 22:03:00,0,2024-12-08 22:04:00,2024-12-08 22:04:00,0,,2,nan,Stuttgart Schwabstr.|Stuttgart Feuersee|Stuttgart Stadtmitte|Stuttgart Hbf (tief)|Stuttgart Nord,,,,,,,7857731125780769066-2412082152,6,,Sunday,Sunday
8006699,Stuttgart Feuersee,S3,7370,5746319644875914367-2412082230-5,2024-12-08 22:41:00,2024-12-08 22:44:00,3,2024-12-08 22:42:00,2024-12-08 22:45:00,3,,2,nan,Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.,,,,,,,5746319644875914367-2412082230,5,,Sunday,Sunday
8006699,Stuttgart Feuersee,S1,7171,1733518000541873569-2412082150-17,2024-12-08 22:38:00,2024-12-08 22:39:00,1,2024-12-08 22:39:00,2024-12-08 22:40:00,1,,1,nan,Kirchheim(Teck)|Kirchheim(Teck)-Ötlingen|Wendlingen(Neckar)|Wernau(Neckar)|Plochingen|Altbach|Esslingen-Zell|Oberesslingen|Esslingen(Neckar)|Esslingen-Mettingen|Stuttgart-Obertürkheim|Stuttgart-Untertürkheim|Stuttgart Neckarpark|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte,,,,,,,1733518000541873569-2412082150,17,,Sunday,Sunday
8006699,Stuttgart Feuersee,S3,7368,2108273426935994626-2412082200-5,2024-12-08 22:11:00,2024-12-08 22:11:00,0,2024-12-08 22:12:00,2024-12-08 22:11:00,-1,,2,nan,Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.,,,,,,,2108273426935994626-2412082200,5,,Sunday,Sunday
8006699,Stuttgart Feuersee,S3,7371,4129986010683108750-2412082211-12,2024-12-08 22:48:00,2024-12-08 22:48:00,0,2024-12-08 22:49:00,2024-12-08 22:49:00,0,1,1,nan,Backnang|Maubach|Nellmersbach|Winnenden|Schwaikheim|Neustadt-Hohenacker|Waiblingen|Fellbach|Stuttgart-Bad Cannstatt|Stuttgart Hbf (tief)|Stuttgart Stadtmitte,Bauarbeiten,,,,,h,4129986010683108750-2412082211,12,,Sunday,Sunday
8006699,Stuttgart Feuersee,S6,7669,-4129909752986717170-2412082133-16,2024-12-08 22:16:00,2024-12-08 22:15:00,-1,2024-12-08 22:16:00,2024-12-08 22:16:00,0,,1,nan,Weil der Stadt|Malmsheim|Renningen|Rutesheim|Leonberg|Höfingen|Ditzingen|Weilimdorf|Korntal|Neuwirtshaus(Porscheplatz)|Stuttgart-Zuffenhausen|Stuttgart-Feuerbach|Stuttgart Nord|Stuttgart Hbf (tief)|Stuttgart Stadtmitte,,,,,,,-4129909752986717170-2412082133,16,,Sunday,Sunday
8006699,Stuttgart Feuersee,S6,7668,1021373165035643623-2412082212-2,2024-12-08 22:14:00,2024-12-08 22:13:00,-1,2024-12-08 22:14:00,2024-12-08 22:14:00,0,,2,nan,Stuttgart Schwabstr.,,,,,,,1021373165035643623-2412082212,2,,Sunday,Sunday
8006699,Stuttgart Feuersee,S1,7170,-1681307597298006387-2412082146-13,2024-12-08 22:21:00,2024-12-08 22:21:00,0,2024-12-08 22:22:00,2024-12-08 22:22:00,0,,2,nan,Herrenberg|Nufringen|Gärtringen|Ehningen(b Böblingen)|Hulb|Böblingen|Goldberg(Württ)|Stuttgart-Rohr|Stuttgart-Vaihingen|Stuttgart-Österfeld|Stuttgart Universität|Stuttgart Schwabstr.,,,,,,,-1681307597298006387-2412082146,13,,Sunday,Sunday
8006699,Stuttgart Feuersee,S5,7570,4856527956904907972-2412082222-2,2024-12-08 22:24:00,2024-12-08 22:23:00,-1,2024-12-08 22:24:00,2024-12-08 22:23:00,-1,,2,nan,Stuttgart Schwabstr.,,,,,,,4856527956904907972-2412082222,2,,Sunday,Sunday
